customer_id,segment,recency,frequency,monetary,avg_order_value,R_score,F_score,M_score,RFM_score,ticket_count,return_rate,recent_sessions
CUST00001,Needs Attention,168,6,2955.57,492.595,2,4,3,9,2.0,0.16666666666666666,1
CUST00002,New Customers,35,3,1713.1,571.0333333333333,4,2,2,8,1.0,0.0,8
CUST00003,Needs Attention,232,1,649.98,649.98,1,1,1,3,0.0,0.0,1
CUST00004,Needs Attention,192,1,1604.04,1604.04,2,1,2,5,0.0,0.0,1
CUST00005,Champions,11,6,3910.43,651.7383333333333,5,4,4,13,1.0,0.0,18
CUST00006,Loyal Customers,55,6,3987.46,664.5766666666667,3,4,4,11,2.0,0.16666666666666666,2
CUST00007,New Customers,3,2,1219.9,609.95,5,1,2,8,0.0,0.0,11
CUST00008,Loyal Customers,45,6,3647.9900000000002,607.9983333333333,3,4,4,11,1.0,0.0,2
CUST00009,New Customers,29,2,803.99,401.995,4,1,1,6,0.0,0.5,11
CUST00010,New Customers,9,2,1984.18,992.09,5,1,2,8,0.0,0.0,13
CUST00011,Needs Attention,7,4,2912.49,728.1225,5,3,3,11,0.0,0.0,10
CUST00012,Needs Attention,111,2,2051.63,1025.815,2,1,2,5,1.0,0.0,3
CUST00013,Needs Attention,3,4,2934.52,733.63,5,3,3,11,1.0,0.0,4
CUST00014,Champions,1,13,9108.63,700.6638461538461,5,5,5,15,2.0,0.0,11
CUST00015,Champions,1,5,5805.34,1161.068,5,4,5,14,0.0,0.0,6
CUST00016,Needs Attention,276,1,478.02,478.02,1,1,1,3,1.0,0.0,2
CUST00017,Needs Attention,347,3,1699.1399999999999,566.38,1,2,2,5,0.0,0.0,4
CUST00018,Needs Attention,172,1,329.21,329.21,2,1,1,4,0.0,0.0,3
CUST00019,New Customers,35,3,2719.02,906.34,4,2,3,9,0.0,0.0,5
CUST00020,At-Risk High Value,429,3,4487.950000000001,1495.9833333333336,1,2,4,7,1.0,0.0,0
CUST00021,Needs Attention,138,2,1059.3,529.65,2,1,1,4,1.0,0.0,3
CUST00022,New Customers,37,2,1332.67,666.335,4,1,2,7,0.0,0.0,10
CUST00023,New Customers,42,2,772.04,386.02,4,1,1,6,0.0,0.0,3
CUST00024,New Customers,14,2,967.97,483.985,5,1,1,7,0.0,0.0,13
CUST00025,Loyal Customers,226,7,4868.86,695.5514285714286,1,5,5,11,3.0,0.0,11
CUST00026,Discount Sensitive,41,4,4521.43,1130.3575,4,3,4,11,1.0,0.5,14
CUST00027,New Customers,15,2,2666.0,1333.0,5,1,3,9,1.0,0.5,11
CUST00028,New Customers,4,3,1853.73,617.91,5,2,2,9,1.0,0.0,1
CUST00029,Champions,12,11,7122.8,647.5272727272727,5,5,5,15,0.0,0.0,1
CUST00030,Champions,16,7,3884.46,554.9228571428572,5,5,4,14,2.0,0.0,11
CUST00031,Needs Attention,110,1,672.95,672.95,2,1,1,4,0.0,0.0,6
CUST00032,Needs Attention,32,4,2456.0499999999997,614.0124999999999,4,3,3,10,0.0,0.0,12
CUST00033,Champions,15,6,3548.9,591.4833333333333,5,4,4,13,2.0,0.3333333333333333,7
CUST00034,Loyal Customers,53,7,4165.39,595.0557142857143,3,5,4,12,3.0,0.0,7
CUST00035,Needs Attention,188,3,1369.71,456.57,2,2,2,6,0.0,0.0,6
CUST00036,Needs Attention,88,4,1737.33,434.3325,3,3,2,8,1.0,0.25,0
CUST00037,New Customers,9,3,2021.52,673.84,5,2,2,9,0.0,0.0,5
CUST00038,Loyal Customers,11,6,2761.52,460.25333333333333,5,4,3,12,1.0,0.0,5
CUST00039,Needs Attention,31,4,2094.09,523.5225,4,3,2,9,0.0,0.0,6
CUST00040,Needs Attention,215,1,634.73,634.73,1,1,1,3,1.0,0.0,1
CUST00041,Needs Attention,115,4,1911.8600000000001,477.96500000000003,2,3,2,7,1.0,0.0,5
CUST00042,Loyal Customers,46,10,7919.28,791.928,3,5,5,13,6.0,0.2,3
CUST00043,New Customers,12,2,705.3199999999999,352.65999999999997,5,1,1,7,0.0,0.0,3
CUST00044,Needs Attention,58,4,3409.6499999999996,852.4124999999999,3,3,4,10,1.0,0.0,6
CUST00045,Needs Attention,157,1,413.75,413.75,2,1,1,4,0.0,0.0,6
CUST00046,Needs Attention,188,1,489.87,489.87,2,1,1,4,0.0,0.0,7
CUST00047,Needs Attention,265,1,764.43,764.43,1,1,1,3,0.0,0.0,2
CUST00048,Loyal Customers,11,5,2860.14,572.028,5,4,3,12,1.0,0.2,12
CUST00049,New Customers,39,2,1172.61,586.305,4,1,2,7,0.0,0.5,4
CUST00050,Needs Attention,56,4,3169.58,792.395,3,3,4,10,1.0,0.25,3
CUST00051,At-Risk High Value,271,4,4444.3,1111.075,1,3,4,8,2.0,0.0,6
CUST00052,Discount Sensitive,116,3,2807.14,935.7133333333333,2,2,3,7,1.0,0.3333333333333333,7
CUST00053,Champions,10,6,5422.92,903.82,5,4,5,14,2.0,0.0,9
CUST00054,New Customers,23,2,1154.37,577.185,4,1,1,6,0.0,0.5,3
CUST00055,Needs Attention,1,4,1707.24,426.81,5,3,2,10,1.0,0.0,6
CUST00056,Loyal Customers,53,5,4169.73,833.9459999999999,3,4,4,11,1.0,0.0,3
CUST00057,Needs Attention,197,2,2510.83,1255.415,2,1,3,6,0.0,0.0,7
CUST00058,Loyal Customers,49,5,3930.75,786.15,3,4,4,11,0.0,0.0,2
CUST00059,Champions,9,5,5050.94,1010.1879999999999,5,4,5,14,0.0,0.0,3
CUST00060,Needs Attention,206,1,293.22,293.22,1,1,1,3,0.0,0.0,5
CUST00061,Loyal Customers,3,5,2511.7200000000003,502.34400000000005,5,4,3,12,1.0,0.0,4
CUST00062,Loyal Customers,50,5,3135.08,627.016,3,4,4,11,1.0,0.0,9
CUST00063,Dormant,277,1,397.69,397.69,1,1,1,3,1.0,0.0,0
CUST00064,New Customers,27,3,1634.0,544.6666666666666,4,2,2,8,0.0,0.0,8
CUST00065,Needs Attention,1,4,3966.91,991.7275,5,3,4,12,0.0,0.0,3
CUST00066,At-Risk High Value,381,5,4598.95,919.79,1,4,4,9,1.0,0.0,11
CUST00067,Discount Sensitive,124,2,1246.44,623.22,2,1,2,5,1.0,0.5,1
CUST00068,Discount Sensitive,407,3,2123.66,707.8866666666667,1,2,3,6,1.0,0.3333333333333333,5
CUST00069,Needs Attention,90,2,874.47,437.235,3,1,1,5,0.0,0.0,9
CUST00070,Needs Attention,99,1,542.98,542.98,3,1,1,5,0.0,0.0,1
CUST00071,Needs Attention,93,1,2062.5,2062.5,3,1,2,6,1.0,0.0,1
CUST00072,Needs Attention,151,4,2587.02,646.755,2,3,3,8,0.0,0.0,7
CUST00073,Loyal Customers,45,7,6253.77,893.3957142857143,3,5,5,13,0.0,0.0,7
CUST00074,Loyal Customers,26,5,2884.48,576.896,4,4,3,11,1.0,0.2,14
CUST00075,Loyal Customers,44,11,7714.719999999999,701.3381818181817,3,5,5,13,4.0,0.0,10
CUST00076,Needs Attention,1,4,2888.0299999999997,722.0074999999999,5,3,3,11,0.0,0.0,17
CUST00077,Dormant,170,1,394.32,394.32,2,1,1,4,0.0,0.0,0
CUST00078,Discount Sensitive,200,1,894.45,894.45,1,1,1,3,1.0,1.0,5
CUST00079,Needs Attention,252,1,619.57,619.57,1,1,1,3,0.0,0.0,2
CUST00080,Needs Attention,8,4,2832.98,708.245,5,3,3,11,0.0,0.0,11
CUST00081,Champions,41,9,5805.78,645.0866666666666,4,5,5,14,3.0,0.2222222222222222,12
CUST00082,Needs Attention,315,3,1671.25,557.0833333333334,1,2,2,5,0.0,0.0,7
CUST00083,Discount Sensitive,150,2,806.87,403.435,2,1,1,4,1.0,0.5,9
CUST00084,Needs Attention,228,1,1273.18,1273.18,1,1,2,4,0.0,0.0,11
CUST00085,Needs Attention,75,1,1257.8,1257.8,3,1,2,6,0.0,0.0,8
CUST00086,Loyal Customers,40,6,3003.66,500.60999999999996,4,4,3,11,1.0,0.0,7
CUST00087,Needs Attention,28,4,3610.9700000000003,902.7425000000001,4,3,4,11,0.0,0.25,1
CUST00088,Loyal Customers,159,12,6774.5,564.5416666666666,2,5,5,12,1.0,0.0,9
CUST00089,Needs Attention,226,2,2825.75,1412.875,1,1,3,5,0.0,0.0,12
CUST00090,Loyal Customers,50,5,2498.83,499.76599999999996,3,4,3,10,1.0,0.0,5
CUST00091,Champions,18,5,5844.34,1168.868,5,4,5,14,1.0,0.2,9
CUST00092,New Customers,34,2,1155.25,577.625,4,1,1,6,0.0,0.0,1
CUST00093,Needs Attention,146,1,759.64,759.64,2,1,1,4,0.0,0.0,16
CUST00094,At-Risk High Value,244,4,3557.43,889.3575,1,3,4,8,2.0,0.0,6
CUST00095,Needs Attention,126,1,372.65,372.65,2,1,1,4,1.0,0.0,10
CUST00096,Needs Attention,45,4,2403.64,600.91,3,3,3,9,1.0,0.25,12
CUST00097,Champions,29,8,5040.67,630.08375,4,5,5,14,2.0,0.125,0
CUST00098,Needs Attention,245,2,1843.57,921.785,1,1,2,4,1.0,0.0,8
CUST00099,Loyal Customers,45,6,3861.8199999999997,643.6366666666667,3,4,4,11,1.0,0.0,4
CUST00100,New Customers,3,3,2209.4,736.4666666666667,5,2,3,10,0.0,0.3333333333333333,1
CUST00101,Loyal Customers,169,5,3514.87,702.9739999999999,2,4,4,10,2.0,0.0,2
CUST00102,New Customers,18,2,2048.62,1024.31,5,1,2,8,0.0,0.0,2
CUST00103,New Customers,7,3,2581.31,860.4366666666666,5,2,3,10,0.0,0.0,6
CUST00104,Needs Attention,154,1,955.63,955.63,2,1,1,4,0.0,0.0,3
CUST00105,New Customers,40,2,2846.2999999999997,1423.1499999999999,4,1,3,8,0.0,0.0,1
CUST00106,Loyal Customers,122,7,4352.11,621.7299999999999,2,5,4,11,1.0,0.0,5
CUST00107,Needs Attention,32,4,3891.05,972.7625,4,3,4,11,0.0,0.0,2
CUST00108,Discount Sensitive,105,1,1074.5,1074.5,3,1,1,5,1.0,1.0,5
CUST00109,Loyal Customers,60,6,4566.15,761.025,3,4,4,11,0.0,0.0,1
CUST00110,Loyal Customers,96,6,3922.07,653.6783333333334,3,4,4,11,2.0,0.0,4
CUST00111,Needs Attention,239,1,1135.09,1135.09,1,1,1,3,0.0,0.0,3
CUST00112,Champions,34,9,6542.4,726.9333333333333,4,5,5,14,1.0,0.2222222222222222,4
CUST00113,New Customers,8,3,2095.48,698.4933333333333,5,2,2,9,0.0,0.0,17
CUST00114,Loyal Customers,300,6,5133.53,855.5883333333333,1,4,5,10,1.0,0.0,3
CUST00115,Needs Attention,220,1,596.54,596.54,1,1,1,3,1.0,0.0,12
CUST00116,Loyal Customers,204,6,5635.9,939.3166666666666,1,4,5,10,0.0,0.0,10
CUST00117,Needs Attention,184,4,2534.33,633.5825,2,3,3,8,0.0,0.0,2
CUST00118,Needs Attention,14,4,2001.17,500.2925,5,3,2,10,0.0,0.0,2
CUST00119,Champions,6,6,4466.32,744.3866666666667,5,4,4,13,1.0,0.0,12
CUST00120,New Customers,32,2,755.8399999999999,377.91999999999996,4,1,1,6,0.0,0.0,6
CUST00121,New Customers,23,3,3028.88,1009.6266666666667,4,2,3,9,0.0,0.0,5
CUST00122,Needs Attention,167,2,2048.93,1024.465,2,1,2,5,0.0,0.0,10
CUST00123,Champions,29,7,3742.48,534.64,4,5,4,13,3.0,0.14285714285714285,2
CUST00124,Needs Attention,255,4,2570.5,642.625,1,3,3,7,0.0,0.0,5
CUST00125,New Customers,17,3,2455.21,818.4033333333333,5,2,3,10,0.0,0.3333333333333333,0
CUST00126,Needs Attention,118,2,1260.02,630.01,2,1,2,5,0.0,0.0,5
CUST00127,New Customers,18,3,1136.12,378.70666666666665,5,2,1,8,0.0,0.0,3
CUST00128,New Customers,6,3,2233.06,744.3533333333334,5,2,3,10,0.0,0.0,15
CUST00129,Loyal Customers,32,5,4049.54,809.908,4,4,4,12,2.0,0.2,7
CUST00130,Needs Attention,57,2,1850.58,925.29,3,1,2,6,0.0,0.0,9
CUST00131,Loyal Customers,128,6,6830.01,1138.335,2,4,5,11,0.0,0.0,4
CUST00132,Loyal Customers,178,5,4876.780000000001,975.3560000000001,2,4,5,11,0.0,0.0,1
CUST00133,Champions,12,10,7152.29,715.229,5,5,5,15,1.0,0.1,5
CUST00134,Loyal Customers,19,6,4696.0199999999995,782.67,4,4,4,12,3.0,0.16666666666666666,11
CUST00135,Needs Attention,394,4,2534.18,633.545,1,3,3,7,0.0,0.0,3
CUST00136,Needs Attention,132,1,514.9,514.9,2,1,1,4,0.0,0.0,7
CUST00137,Needs Attention,238,2,1035.87,517.935,1,1,1,3,0.0,0.0,4
CUST00138,New Customers,36,2,1424.6100000000001,712.3050000000001,4,1,2,7,0.0,0.5,5
CUST00139,Needs Attention,14,4,3008.66,752.165,5,3,3,11,2.0,0.0,5
CUST00140,Loyal Customers,33,5,4083.36,816.672,4,4,4,12,2.0,0.0,14
CUST00141,New Customers,20,2,1055.28,527.64,4,1,1,6,0.0,0.0,4
CUST00142,Needs Attention,230,5,1880.0,376.0,1,4,2,7,0.0,0.0,2
CUST00143,Loyal Customers,51,7,7890.950000000001,1127.2785714285715,3,5,5,13,0.0,0.0,5
CUST00144,Champions,42,10,8510.65,851.0649999999999,4,5,5,14,3.0,0.1,8
CUST00145,Needs Attention,91,1,502.35,502.35,3,1,1,5,0.0,0.0,0
CUST00146,Champions,6,6,6990.9400000000005,1165.1566666666668,5,4,5,14,1.0,0.16666666666666666,4
CUST00147,Needs Attention,27,4,3412.56,853.14,4,3,4,11,1.0,0.0,1
CUST00148,Champions,15,5,3702.7,740.54,5,4,4,13,1.0,0.2,5
CUST00149,New Customers,10,3,2362.6400000000003,787.5466666666667,5,2,3,10,0.0,0.3333333333333333,8
CUST00150,Loyal Customers,35,5,2641.09,528.2180000000001,4,4,3,11,0.0,0.0,6
CUST00151,Loyal Customers,44,8,6240.6,780.075,3,5,5,13,3.0,0.0,7
CUST00152,Champions,10,8,5508.0,688.5,5,5,5,15,4.0,0.125,19
CUST00153,New Customers,26,3,1619.74,539.9133333333333,4,2,2,8,0.0,0.0,6
CUST00154,Champions,42,10,8542.89,854.289,4,5,5,14,0.0,0.0,8
CUST00155,Needs Attention,32,4,2343.2799999999997,585.8199999999999,4,3,3,10,0.0,0.0,6
CUST00156,New Customers,28,3,4831.42,1610.4733333333334,4,2,5,11,1.0,0.3333333333333333,14
CUST00157,Loyal Customers,61,5,2269.91,453.98199999999997,3,4,3,10,1.0,0.0,3
CUST00158,Needs Attention,216,1,812.34,812.34,1,1,1,3,0.0,0.0,8
CUST00159,At-Risk High Value,535,2,3713.77,1856.885,1,1,4,6,0.0,0.0,0
CUST00160,Needs Attention,238,2,1064.66,532.33,1,1,1,3,1.0,0.0,4
